empresa,nome_contato,telefone,cidade,canal,origem,status,data_contato,proxima_acao,objeções
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
,,,,,,novo,,,
